X,Y,Key,Scipy,CPP,Difference,Ratio
1,14,Time,1.008638,0.352344,-0.6562939999999999,0.34932651754147676
1,15,Time,1.088816,0.345983,-0.7428330000000001,0.31776076031211886
2,3,Time,1.06399,0.410865,-0.653125,0.38615494506527315
2,4,Time,1.091176,0.409083,-0.682093,0.37490102421607513
2,5,Time,0.999291,0.40567,-0.5936210000000001,0.4059578240972849
2,6,Time,0.993956,0.404667,-0.589289,0.40712767969608316
2,7,Time,0.975342,0.408227,-0.567115,0.4185475453738278
2,8,Time,1.032198,0.415519,-0.616679,0.4025574550619165
2,9,Time,1.039413,0.403964,-0.6354489999999999,0.3886462840083778
2,10,Time,1.016937,0.409318,-0.6076189999999999,0.40250084321840984
2,11,Time,1.18968,0.342468,-0.8472120000000001,0.2878656445430704
2,12,Time,0.92991,0.344081,-0.5858289999999999,0.37001537783226335
2,13,Time,0.9287,0.352506,-0.576194,0.3795692904059438
2,14,Time,0.979134,0.347959,-0.6311749999999999,0.3553742388682244
2,15,Time,1.011016,0.344727,-0.6662889999999999,0.3409708649516922
3,4,Time,1.045826,0.408542,-0.637284,0.39064050807686945
3,5,Time,1.144581,0.407244,-0.7373370000000001,0.35580181743362854
3,6,Time,0.966111,0.408897,-0.5572140000000001,0.42324018668662294
3,7,Time,0.985726,0.407571,-0.578155,0.4134729123508967
3,8,Time,0.985301,0.405011,-0.58029,0.4110530690621445
3,9,Time,1.012446,0.403586,-0.60886,0.39862471677501815
3,10,Time,1.030266,0.410814,-0.6194519999999999,0.39874556667889655
3,11,Time,1.05711,0.346672,-0.710438,0.3279431658010992
3,12,Time,1.066861,0.345476,-0.721385,0.3238247531777804
3,13,Time,1.183781,0.34356,-0.840221,0.29022260029515595
3,14,Time,1.083623,0.344089,-0.739534,0.31753571122059976
3,15,Time,1.063562,0.405823,-0.6577389999999999,0.3815696687170095
4,5,Time,1.284442,0.412291,-0.8721510000000001,0.3209884136457699
4,6,Time,1.069187,0.403865,-0.6653220000000002,0.37773093013663644
4,7,Time,1.064456,0.414099,-0.6503570000000001,0.3890240648744523
4,8,Time,1.068503,0.407255,-0.6612480000000001,0.3811453968776877
4,9,Time,1.153424,0.410142,-0.743282,0.35558649724645924
4,10,Time,1.122661,0.404287,-0.7183739999999998,0.3601149411977436
4,11,Time,1.178313,0.352045,-0.826268,0.29877036067666235
4,12,Time,1.138053,0.341329,-0.796724,0.29992364151757434
4,13,Time,1.091581,0.344985,-0.7465959999999999,0.3160415947144555
4,14,Time,1.357991,0.350121,-1.00787,0.25782276907578916
4,15,Time,1.151134,0.346397,-0.804737,0.3009180512433826
5,6,Time,1.175655,0.405852,-0.7698029999999999,0.3452135192722355
5,7,Time,1.210084,0.403312,-0.8067719999999999,0.33329256481368236
5,8,Time,1.08032,0.405063,-0.675257,0.37494723785545025
5,9,Time,1.030611,0.406171,-0.6244399999999999,0.3941069909015138
5,10,Time,1.10058,0.403824,-0.6967559999999999,0.36691926075342096
5,11,Time,1.051826,0.345247,-0.7065789999999998,0.3282358488951595
5,12,Time,1.021159,0.345612,-0.6755469999999999,0.3384507211903337
5,13,Time,1.027411,0.342267,-0.6851440000000001,0.33313542486891806
5,14,Time,0.949489,0.324701,-0.624788,0.3419744725847272
5,15,Time,1.051001,0.358312,-0.6926890000000001,0.34092450911083816
6,7,Time,1.053985,0.353838,-0.700147,0.33571445513930465
6,8,Time,1.089522,0.354271,-0.7352510000000001,0.32516185997162056
6,9,Time,1.055835,0.388534,-0.6673010000000001,0.36798742227715503
6,10,Time,0.969243,0.523384,-0.445859,0.5399925508876515
6,11,Time,0.935605,0.41258,-0.5230250000000001,0.4409766942245926
6,12,Time,0.96281,0.410518,-0.552292,0.4263748818562333
6,13,Time,1.046428,0.4734,-0.5730279999999999,0.4523961514791271
6,14,Time,0.982873,0.403107,-0.579766,0.41013131910226447
6,15,Time,1.22037,0.4718,-0.74857,0.3866040627022952
7,8,Time,1.060856,0.432684,-0.628172,0.4078630841509121
7,9,Time,0.972454,0.444269,-0.528185,0.45685348612890686
7,10,Time,0.936731,0.486071,-0.45066,0.5189013708311138
7,11,Time,0.994775,0.401951,-0.592824,0.40406222512628487
7,12,Time,1.036353,0.44216,-0.5941930000000001,0.4266499928113297
7,13,Time,1.018217,0.303043,-0.715174,0.2976212339805759
7,14,Time,1.07764,0.310948,-0.7666919999999999,0.2885453398166364
7,15,Time,1.044182,0.532089,-0.5120929999999999,0.5095749591546302
