Date,Close,CloseUSD,Returns10d,Returns01d,Turnover
2009-05-18,1.0522137880325317,0.28242800838322196,0.5704698380638116,0.09345773726231621,1028543.8286807253
2009-05-19,1.0162408351898193,0.272596790555209,0.39506225772117487,-0.03418787441473847,1229430.5565135302
2009-05-20,0.9892607927322388,0.26508234216678866,0.32052844873507036,-0.026548866689204753,1060304.0678422626
2009-05-21,0.9892607927322388,0.2647914327441752,0.32530137414328153,0.0,794990.8587409868
2009-05-22,0.9802675247192383,0.26234913012692046,0.14857744626772185,-0.00909089704056909,373977.91145023226
2009-05-23,,,,,
2009-05-24,,,,,
2009-05-25,,,,,
2009-05-26,0.9982541799545288,0.26694857065236766,0.06730779341423321,,498593.2566446569
2009-05-27,0.9892607927322388,0.26464975728524315,0.11675117135106161,-0.009009115516751098,842036.776128841
2009-05-28,0.944294273853302,0.2525864046685307,0.04999979785555908,-0.045454665957946006,570790.751166826
2009-05-29,0.9353011250495911,0.24952675214086145,-0.02803758752493668,-0.009523671860270144,625032.8488954586
2009-05-30,,,,,
2009-05-31,,,,,
2009-06-01,1.0072473287582397,0.26903692106045557,-0.04273509792945396,0.0769230377059944,780560.9093902322
2009-06-02,1.0522137880325317,0.2811150916464151,0.035398058803642884,0.04464291737534598,849070.1732944367
2009-06-03,1.0522137880325317,0.2810775445525663,0.06363639978738389,0.0,605120.8944048043
2009-06-04,1.0612069368362427,0.28357835947737764,0.07272717632455228,0.008546883633340885,645277.3820136513
2009-06-05,1.0612069368362427,0.28257407451371125,0.08256869688729762,0.0,414350.8347067047
2009-06-06,,,,,
2009-06-07,,,,,
2009-06-08,,,,,
2009-06-09,1.0881868600845337,0.2893652236570052,0.09008996098979649,0.008333099523314846,620416.4014340385
2009-06-10,1.1061736345291138,0.2940543448692418,0.11818202303759917,0.016529122988291567,717997.7323092631
2009-06-11,1.0702003240585327,0.28529545853554406,0.13333348903139752,-0.03252049167298632,742656.1950062547
2009-06-12,1.0791938304901123,0.28611411503224166,0.15384639405078437,0.008403572891356736,610436.0784524371
2009-06-13,,,,,
2009-06-14,,,,,
2019-10-01,78.73002624511719,1.3657452918859732,0.00477045089592254,0.033108460198856715,2175599.0485761957
2019-10-02,81.62692260742188,1.4118640942216012,0.06071650436193354,0.03679531813295123,2162472.61189179
2019-10-03,79.94485473632812,1.3843264889407467,0.029482496640449884,-0.020606777976716284,1253088.8133583246
2019-10-04,83.9164047241211,1.4535509721492603,0.10116497865815965,0.049678619104279065,2357757.7546968334
2019-10-07,82.00070190429688,1.4178387119269795,0.09687497671895273,-0.022828704662958055,1643903.1418957168
2019-10-08,79.33744049072266,1.3714882439703335,0.10331381926707506,-0.03247851971660576,1751023.7397713475
2019-10-09,80.55226135253906,1.3892872036104769,0.09113913846878852,0.015312075286301408,1484025.6319848662
2019-10-10,84.5238037109375,1.4577593686133197,0.1384518347197936,0.049303921351343316,2151644.523448168
2019-10-11,84.38363647460938,1.4540329060210941,0.09787227622193195,-0.0016583167128574328,1671986.5884559504
2019-10-14,,,,,
2019-10-15,84.57054138183594,1.4513564678537143,0.07418408725706449,,1142212.3381704395
2019-10-16,82.70157623291016,1.417409228116444,0.013165431099941616,-0.0220994819045488,2173414.3495277697
2019-10-17,85.78536987304688,1.4710182257840232,0.07305679841412904,0.03728820876946659,3968667.736911053
2019-10-18,86.9534683227539,1.4902561925473694,0.036191536191490625,0.013616522857402114,5079419.050632238
2019-10-21,89.66345977783203,1.5327742173226553,0.09344746685800787,0.03116599610517179,3128928.7150208903
2019-10-22,91.2053451538086,1.554746987493008,0.14958769264145477,0.017196362707808,4382301.730449976
2019-10-23,90.83155059814453,1.539953691945763,0.1276101883796643,-0.0040983843110696805,4696126.468697752
2019-10-24,91.06517791748047,1.5280033209023949,0.077390911427907,0.0025720943636595717,3532426.5651805634
2019-10-25,94.6162109375,1.5771813120617029,0.12126254437931872,0.038994411488849634,7574038.394854702
2019-10-28,,,,,
2019-10-29,80.36536407470703,1.3517006824439834,-0.0497239019452711,-0.06521749548034372,4357022.929898924
2019-10-30,83.77622985839844,1.403232871403588,0.012994354816911358,0.04244198757714446,2601827.2245478984
2019-10-31,86.06570434570312,1.4427917888309756,0.003267858762760145,0.027328449742539673,2401671.634435934
2019-11-01,87.84121704101562,1.4706677020301033,0.01020946875823947,0.020629735256458615,1323348.110924247
2019-11-04,94.8031005859375,1.5878586481188763,0.057321464293709656,0.07925531748576709,2556685.965257102
2019-11-05,93.96206665039062,1.5750938590189678,0.030225437905345265,-0.008871375834216377,2118131.708067312
2019-11-06,90.31758880615234,1.5140011768715116,-0.00565840601209211,-0.03878669312158145,1402159.036156562
2019-11-07,93.82189178466797,1.5741479149867867,0.030271877025107363,0.03879978445878218,1686650.068321466
2019-11-08,91.0184555053711,1.5296396749312826,-0.038024725324346864,-0.02988040665105196,1255821.3543524374
2019-11-11,90.45777130126953,1.5119132759697398,0.052173943138766,-0.006160115561052115,1167824.867913103
2019-11-12,87.00018310546875,1.4573309977917084,0.08255819042385037,-0.038223229978608275,1225510.541634821
2019-11-13,83.12207794189453,1.3918050641197963,-0.007808323645138726,-0.04457582760340706,1377612.5728184227
2019-11-14,79.05709838867188,1.3247698557491503,-0.08143320281072164,-0.04890372875500337,1309721.176300262
2019-11-15,82.93519592285156,1.3898091947027265,-0.05585101485870003,0.049054387439235736,855274.0941984751
2019-11-18,,,,,
2019-11-19,84.38363647460938,1.413615158679075,-0.10193933059625215,,1427504.7666999334
2019-11-20,87.56086730957031,1.4660304439331002,-0.03052253202306754,0.03765221514146222,1642393.7888232467
2019-11-21,87.28052520751953,1.4593209250701322,-0.06972111148815485,-0.0032016825628238266,1173466.2991193004
2019-11-22,88.54207611083984,1.481300584724255,-0.02720744249923157,0.014453979284849927,2452729.9372053687
2019-11-25,88.26173400878906,1.4781362720546136,-0.024276933434127734,-0.0031662020404834568,1087880.7716085315
2019-11-26,85.1312255859375,1.4208073698992365,-0.021482225126647658,-0.03546846725830055,1305001.7190736965
2019-11-27,,,,,
2019-11-28,,,,,
2019-11-29,,,,,
2019-12-02,,,,,
2019-12-03,88.96258544921875,1.4848181993300278,0.05426347057213121,-0.009880557357110131,1152910.5740405263
2019-12-04,95.73757934570312,1.5987492125569132,0.0933831777525016,0.0761555418187756,2734032.324222275
2019-12-05,97.65326690673828,1.628097147494803,0.11884371312565278,0.020009776454841255,2369197.477824939
2019-12-06,102.4658432006836,1.70918837699222,0.1572559364026378,0.04928228666985057,3220363.610819489
2019-12-09,99.89602661132812,1.6663223788378336,0.1318158172757009,-0.025079738858171274,2698800.683143849
2019-12-10,93.07431030273438,1.555807392755632,0.09330400992264076,-0.06828816460473885,1697067.0571708155
2019-12-11,,,,,
2019-12-12,,,,,
2019-12-13,,,,,
2019-12-16,102.09204864501953,1.706796767449963,0.13624533046397902,0.005985207259621816,2160848.693736264
2019-12-17,100.45671081542969,1.6794287617933277,0.12920179093459416,-0.016018268330338037,3172646.9872813094
2019-12-18,101.7649917602539,1.7014000712268158,0.06295764375644097,0.013023330489368101,4297663.185881881
2019-12-19,101.67153930664062,1.6996330524332393,0.04114836632900265,-0.0009183163285999552,7078230.335531827
2019-12-20,102.65274047851562,1.7161303668979682,0.0018239958994528127,0.009650696532838898,3958036.3041091384
2019-12-23,109.75480651855469,1.829536451914131,0.09869041083670682,0.06918535254814229,5455857.57668183
2019-12-24,,,,,
2019-12-25,,,,,
2019-12-26,117.27737426757812,1.958703536828027,0.21432024149614115,,4269337.004370249
2019-12-27,113.02547454833984,1.8893377533037543,0.11371999042234515,-0.036255072607076055,2739500.606721007
2019-12-30,113.63289642333984,1.8979210156172361,0.11304355169175384,0.005374203270787525,3520368.4683912345
2019-12-31,,,,,
2020-01-01,,,,,
2020-01-02,114.941162109375,1.921585302033493,0.13051462477334286,,1707905.2429757172
2020-01-03,112.88531494140625,1.8872188228409308,0.0996814543400546,-0.017886083020567156,1792418.7898464706
2020-01-06,116.71668243408203,1.951327154747752,0.0634311711382809,0.0339403534876479,2229538.9022423197
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,121.80961608886719,2.036316732402082,0.03864549193392053,0.03534563410018432,3138873.989174524
2020-01-10,125.1737289428711,2.0927512236950343,0.10748244537859097,0.027617793750779107,2952080.228482694
2020-01-13,118.9127197265625,1.983233871921855,0.0464638627493279,-0.050018556363101596,2924768.170512716
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,117.65116119384766,1.961506522071485,0.023577272360391532,0.030700020104995174,2661090.597169943
2020-01-17,118.118408203125,1.9685843601618787,0.046357608732677136,0.003971461093422501,2452182.0836389316
2020-01-20,119.70703125,1.9950240863759692,0.025620577569164693,0.013449411239466524,860900.3019436018
2020-01-21,115.59529876708984,1.9234978928370057,-0.0024194672997607247,-0.03434829550089735,1905628.2485439077
2020-01-22,116.43633270263672,1.9382763829237988,-0.010325682117232393,0.007275675953236194,1698032.192249989
2020-01-23,113.44600677490234,1.8881611172399149,-0.0686613223365149,-0.02568206897559444,1724196.3686694917
